tap_for_display;*** tappez pour afficher ***
FORM_DICTIONARY;Dictionnaire;
INFORMATION_INIT;"Sélectionnez votre langue maternelle, ensuite sélectionnez la langue que vous voulez apprendre. Et allons pratiquer ;-)";
HINT_NATIVE_WORD;mot d'origine;
MSG_OUR_LERN_UNSURPORTED;Notre apprentissage de langue est soutenu par un syntetizeur de Discours ? Texte;
FORM_DASHBOARD;Voc4u;
BTN_TRAIN;Pratiquer;
START;début;
SAVE_DICTIONARY;sauvegarder le dictionnaire;
SPEECH_TO_TEXT;Essayez de dire le mot avec la bonne prononciation;
NOT_SELECTED_YET;Non sélectionné...;
INFORMATION_DASHBOARD;Bienvenue au Vocabulary For You. Le voc4u a trois options \ n # 1:. Pratiquer est l'option principal et là, vous pouvez améliorer la rétention du vocabulaire, par examle dans les transports publics. \ n # 2: Mode haut-parleur vous permet d'écouter le vocabulaire à l'aide du syntetizeur de Discours à Texte, par examle quand vous allez vous coucher. \ n # 3:. La reconnaissance vocale vous permet de pratiquer la prononciation, le téléphone écoute et compare avec le mot habituel.;
DIC_MENU_DICTIONARY;Dictionnaire;
SELECT_LERN_LANG;Choisissez la langue ? apprendre:;
LANGUAGE_SELECT;Sélecteur de langue;
BTN_KNOW;Je sais;
BTN_NOSHOWMORE;ne plus afficher;
CUSTOM_WORD_EMPTY;Vous n'avez pas encore de mots personalisés.;
FORM_TRAIN;Pratiquer;
DIC_MENU_INFO;Aide;
CUSTOM_WORD_ITEM;Mots personnalisés;
MSG_MUST_BE_FILL_BOTH_EDIT_FIELD;Pour sauver ajouter le mot, les deux champs doivent être remplis!;
DIC_MENU_RESET_DB;Réinitialiser la base de données;
TRAIN_EMPTY_LIST;Je sais ou je ne sais pas;
BTN_DONTKNOW;Je ne sais pas;
BTN_MENU;Menu;
ADD_WORD_BUTTON;ajouter un mot;
BTN_CANCEL;annuler;
STT_NOT_SUCCESS;Synthétiseur vocal ne reconnaît pas le mot! Voulez-vous essayer un autre mot?;
ADD_WORD_TITLE;Ajouter un mot personnalisé;
BTN_STOP_LISTENING;Tappez lorsque vous avez terminé de parler.;
STT_ERROR_OCCURRED;Désolé, mais le synthétiseur vocal a échoué!;
FORM_LISTENER;Auditeur;
STT_SUCCESS;Votre prononciation est parfaite! :-) Essayez un autre mot..;
EMPTY_CUSTOM_LIST;Vous n'avez pas votre propre mot, cliquez dans le menu pour ajouter un mot.;
LESSON_5;m1uan;
LESSON_4;Avancé;
LESSON_3;Moyen Avancé;
LESSON_2;Élémentaire;
LESSON_1;De base;
INFORMATION_TRAIN;Ici vous pouvez former votre vocabulaire. Deux boutons "Je sais" et "Je ne sais pas" affiche pour vous le mot suivant, mais en utilisant "ne sais pas"" le mot sera affiché plus fréquemment. Vous pouvez gérer les mots à Pratiquer à partir de l'option Dictionnaire au menu.
HINT_LERN_WORD;apprendre un mot;
INFORMATION_DICTIONARY;Sur ce formulaire, vous pouvez sélectionner la leçon pour votre formation. Chaque leçon a des exemples contenant ces mots.;
DIC_MENU_ADD_WORD;Ajouter le mot;
MSG_RESET_DB;Toutes les leçons seront supprimés de la base de données avec leurs paramètres. Vous devez sélectionner les réglages de langue en premier. Voulez-vous continuer?;
PREPARING;[Préparation];
FORM_INIT;Initialiser les param?tres;
SELECT_NATIVE_LANG;Sélectionnez votre langue maternelle:;
btn_speaker_repeat;répétez;
btn_menu_speech_setting;param?tres de la synth?se vocale;
toas_word_is_add;le mot [%s - %s] a été ajouté;
btn_menu_home;Accueil;
msg_must_be_any_checked;Un moins une leçon doit être sélectionée ou quelques mots personalisés doivent être ajoutés
msg_your_are_sure_disable_lesson;Etes-vous certain de vouloir désactiver?;
msg_tts_language_missing;Probable que votre language ? apprendre n'est pas de soutenu par par le synthétiseur vocal. Voulez-vous passer aux réglages?;
msg_tts_data_missing;Probable que des données manquent dans le Texte à Discours. Voulez-vous passer aux réglages?;
